fps,sil_steps,sil_num_episodes,value_loss,total_timesteps,explained_variance,best_episode_reward,episode_reward,nupdates,sil_valid_samples,policy_entropy
1442,7273.0,7.0,0.001582909724675119,960000,0.66965651512146,100.0,0.0,3000,451.0,2.1082987785339355
1426,9529.0,10.0,0.0011671322863548994,992000,0.6112802922725677,100.0,5.0,3100,438.0,2.221313953399658
1411,10215.0,11.0,0.0025481462944298983,1024000,0.5891872048377991,100.0,0.0,3200,438.0,1.892390489578247
1397,10215.0,11.0,0.0014759842306375504,1056000,0.5261418223381042,100.0,0.0,3300,408.0,1.874906301498413
1384,10215.0,11.0,0.0015108217485249043,1088000,0.4440365433692932,100.0,0.0,3400,432.0,2.106261968612671
1372,10215.0,11.0,0.0024331086315214634,1120000,0.10674583911895752,100.0,0.0,3500,449.0,2.006735324859619
1360,12272.0,13.0,0.0029387092217803,1152000,0.31596702337265015,100.0,2.5,3600,411.0,1.8144136667251587
1349,13798.0,14.0,0.002029306022450328,1184000,0.751446545124054,400.0,0.0,3700,412.0,1.630456566810608
1338,13798.0,14.0,0.001731501892209053,1216000,0.6864732801914215,400.0,0.0,3800,490.0,1.7212903499603271
1328,15488.0,16.0,0.0034583094529807568,1248000,0.5511796176433563,400.0,5.0,3900,447.0,1.7936738729476929
1318,20792.0,21.0,0.0030308726709336042,1280000,0.6952329874038696,400.0,15.0,4000,482.0,1.5909688472747803
1310,21716.0,22.0,0.0028449599631130695,1312000,0.3201014995574951,400.0,10.0,4100,503.0,1.5646013021469116
1302,24156.0,25.0,0.0038244607858359814,1344000,0.5897465348243713,400.0,10.0,4200,480.0,1.4747931957244873
1294,28947.0,31.0,0.004154513590037823,1376000,0.6436707377433777,400.0,10.0,4300,451.0,1.4878766536712646
1286,39124.0,43.0,0.003607499646022916,1408000,0.8559181094169617,400.0,40.0,4400,489.0,1.3175954818725586
1279,49341.0,55.0,0.0035388153046369553,1440000,0.44862067699432373,400.0,47.5,4500,459.0,1.3255729675292969
1272,54943.0,62.0,0.005125984083861113,1472000,0.8029484152793884,400.0,42.5,4600,430.0,1.253420352935791
1265,59576.0,68.0,0.006554923951625824,1504000,0.6879802346229553,400.0,30.0,4700,401.0,1.2795623540878296
1259,62504.0,72.0,0.011820554733276367,1536000,0.05862152576446533,400.0,20.0,4800,487.0,1.147445559501648
1252,75870.0,89.0,0.00874061044305563,1568000,0.7883068025112152,400.0,82.5,4900,447.0,1.0438283681869507
1246,81867.0,97.0,0.005453670397400856,1600000,0.6936699748039246,400.0,55.0,5000,441.0,1.01994788646698
1241,90900.0,106.0,0.008631604723632336,1632000,0.7659047693014145,400.0,70.0,5100,406.0,0.9197084307670593
1235,100000.0,119.0,0.006299429573118687,1664000,0.721427857875824,400.0,115.0,5200,475.0,1.0618951320648193
1229,100000.0,123.0,0.005095286760479212,1696000,0.6571275293827057,400.0,115.0,5300,466.0,1.114983320236206
1224,100000.0,125.0,0.01935097761452198,1728000,0.4621747136116028,400.0,120.0,5400,445.0,0.8943681716918945
1218,100000.0,128.0,0.009272076189517975,1760000,0.680842936038971,400.0,165.0,5500,465.0,0.8754192590713501
1213,100000.0,130.0,0.00788151379674673,1792000,0.8076989501714706,400.0,167.5,5600,325.0,0.8332901000976562
1208,100000.0,135.0,0.008159741759300232,1824000,0.7207076847553253,400.0,247.5,5700,484.0,0.9933412671089172
1203,100000.0,137.0,0.013895252719521523,1856000,0.6771414279937744,400.0,175.0,5800,436.0,0.9226174354553223
1199,100000.0,141.0,0.007783089764416218,1888000,0.8540916740894318,400.0,217.5,5900,450.0,0.948879063129425
1194,100000.0,139.0,0.009881584905087948,1920000,0.428300678730011,400.0,307.5,6000,394.0,0.9179909825325012
1190,100000.0,140.0,0.006081556901335716,1952000,0.7657385170459747,400.0,260.0,6100,286.0,0.9302522540092468
1186,100000.0,143.0,0.006094925105571747,1984000,0.6591489613056183,400.0,257.5,6200,492.0,0.7910220623016357
1183,100000.0,135.0,0.009363840334117413,2016000,0.8234783858060837,400.0,260.0,6300,465.0,0.7110102772712708
1179,100000.0,138.0,0.011406781151890755,2048000,0.7340659499168396,400.0,307.5,6400,390.0,0.8604682683944702
1176,100000.0,138.0,0.007110229693353176,2080000,0.7623200565576553,400.0,330.0,6500,383.0,0.7741695642471313
1172,100000.0,144.0,0.0064331404864788055,2112000,0.8446116298437119,400.0,310.0,6600,381.0,0.8588922619819641
1169,100000.0,144.0,0.005820136051625013,2144000,0.7802354842424393,400.0,320.0,6700,215.0,0.9348462820053101
1165,100000.0,141.0,0.00941246934235096,2176000,0.8648970723152161,400.0,345.0,6800,435.0,0.8612151145935059
1162,100000.0,137.0,0.010764874517917633,2208000,0.8181112855672836,400.0,375.0,6900,421.0,0.8772387504577637
1160,100000.0,132.0,0.007054233457893133,2240000,0.8562203943729401,400.0,357.5,7000,485.0,0.8154807090759277
1157,100000.0,129.0,0.009321398101747036,2272000,0.7440177500247955,400.0,372.5,7100,485.0,0.9062185287475586
1154,100000.0,128.0,0.011937788687646389,2304000,0.7553270757198334,400.0,357.5,7200,402.0,0.5764737129211426
1151,100000.0,131.0,0.00974190328270197,2336000,0.7895327210426331,400.0,347.5,7300,138.0,0.7913190722465515
1149,100000.0,136.0,0.005922143813222647,2368000,0.8976232931017876,400.0,372.5,7400,444.0,0.9823168516159058
1146,100000.0,130.0,0.004437792580574751,2400000,0.9219652414321899,400.0,360.0,7500,407.0,1.0006182193756104
1144,100000.0,133.0,0.006359016988426447,2432000,0.89325812458992,400.0,375.0,7600,201.0,0.8643520474433899
1141,100000.0,133.0,0.0053220754489302635,2464000,0.9006114825606346,400.0,382.5,7700,477.0,0.9374337196350098
1139,100000.0,143.0,0.007810370530933142,2496000,0.9295047372579575,400.0,380.0,7800,289.0,1.0689798593521118
1137,100000.0,145.0,0.008604411967098713,2528000,0.9190441370010376,400.0,337.5,7900,299.0,1.0680043697357178
1135,100000.0,134.0,0.0033544462639838457,2560000,0.9225921183824539,500.0,402.5,8000,364.0,1.0406403541564941
1132,100000.0,135.0,0.004399621393531561,2592000,0.946931678801775,500.0,352.5,8100,342.0,1.0240974426269531
1130,100000.0,137.0,0.004977128468453884,2624000,0.9293071553111076,500.0,370.0,8200,249.0,1.0068551301956177
1128,100000.0,152.0,0.0024042786099016666,2656000,0.9539919197559357,400.0,365.0,8300,111.0,1.1458327770233154
1126,100000.0,149.0,0.004063474480062723,2688000,0.9587037563323975,400.0,377.5,8400,385.0,1.052008867263794
1124,100000.0,146.0,0.005256065167486668,2720000,0.9692796394228935,400.0,385.0,8500,395.0,1.029649257659912
1122,100000.0,141.0,0.004190306179225445,2752000,0.9465844854712486,400.0,372.5,8600,442.0,1.0729925632476807
1121,100000.0,145.0,0.004844957962632179,2784000,0.9540419913828373,400.0,390.0,8700,276.0,1.1293087005615234
1119,100000.0,145.0,0.002482739742845297,2816000,0.9601227529346943,400.0,372.5,8800,396.0,1.2833976745605469
1117,100000.0,147.0,0.003723062574863434,2848000,0.9503657706081867,400.0,382.5,8900,427.0,1.4248385429382324
1116,100000.0,147.0,0.003823445411399007,2880000,0.965414073318243,400.0,372.5,9000,391.0,1.4197393655776978
1115,100000.0,143.0,0.002188820159062743,2912000,0.9707310814410448,400.0,370.0,9100,353.0,1.4605045318603516
1113,100000.0,139.0,0.0038033933378756046,2944000,0.9485277272760868,400.0,385.0,9200,442.0,1.6729151010513306
1112,100000.0,129.0,0.0024547153152525425,2976000,0.9553138762712479,400.0,385.0,9300,255.0,1.8059250116348267
1111,100000.0,122.0,0.002631979063153267,3008000,0.955681748688221,400.0,385.0,9400,433.0,1.845467209815979
1109,100000.0,111.0,0.001852489309385419,3040000,0.9730180408805609,500.0,357.5,9500,307.0,1.9229059219360352
1108,100000.0,115.0,0.003170620184391737,3072000,0.9550761803984642,500.0,400.0,9600,299.0,1.7498737573623657
1107,100000.0,119.0,0.0023383875377476215,3104000,0.9486394710838795,500.0,365.0,9700,358.0,2.002082347869873
1106,100000.0,125.0,0.003004241967573762,3136000,0.9443976692855358,400.0,375.0,9800,92.0,2.070046901702881
1104,100000.0,115.0,0.005676046945154667,3168000,0.9513822644948959,400.0,400.0,9900,27.0,1.9072716236114502
1103,100000.0,108.0,0.0023854586761444807,3200000,0.9756221100687981,400.0,390.0,10000,387.0,1.9231069087982178
