total_timesteps,fps,sil_num_episodes,sil_steps,episode_reward,nupdates,policy_entropy,approxkl,episode_raw_reward,policy_loss,serial_timesteps,time_elapsed,value_loss,clipfrac,sil_valid_samples,best_episode_reward,explained_variance
2457600,1882,0.0,0.0,0.0,300,2.737419,0.0034498007,0.0,-0.0037572987,38400,1260.4515554904938,0.000211817,0.024108887,0.0,0.0,-0.24415695667266846
2539520,1808,0.0,0.0,-0.025,310,2.6414926,0.006716562,-2.5,-0.0069317585,39680,1304.0573511123657,0.0002641489,0.082336426,0.0,0.0,-0.651883602142334
2621440,1874,0.0,0.0,-0.15,320,2.721243,0.007845189,-15.0,-0.0034826123,40960,1347.1993653774261,0.18307906,0.12188721,0.0,0.0,0.03485143184661865
2703360,1865,0.0,0.0,-1.625,330,2.6632352,0.003048956,-27.875,-0.0042335712,42240,1390.7086026668549,0.0002042008,0.02178955,0.0,0.0,0.2622012495994568
2785280,1959,0.0,0.0,-1.275,340,2.4984965,0.0028376016,-28.825,-0.0062583196,43520,1433.5619175434113,0.0002170844,0.022979736,0.0,0.0,0.5159788131713867
2867200,1813,0.0,0.0,-0.875,350,2.7499058,0.0019380116,-5.6,-0.003150099,44800,1477.4901304244995,0.041067608,0.009765625,0.0,0.0,0.2211989164352417
2949120,1859,0.0,0.0,-1.225,360,2.7707756,0.0010992254,-14.0,-0.0031015591,46080,1521.9348442554474,0.021225402,0.008483887,0.0,0.0,0.31460273265838623
3031040,1933,0.0,0.0,-0.3,370,2.7000072,0.0032628807,-30.0,-0.0049084052,47360,1565.467983007431,0.00022093194,0.037994385,0.0,0.0,-0.7378968000411987
3112960,1871,0.0,0.0,-0.075,380,2.6118035,0.0042388504,-7.5,-0.0045903334,48640,1608.5135202407837,0.00023905707,0.056549072,0.0,0.0,-0.12082874774932861
3194880,1898,0.0,0.0,0.0,390,2.669024,0.005615646,0.0,-0.004780159,49920,1652.4101493358612,0.00045937297,0.06567383,0.0,0.0,-0.7181552648544312
