episode_raw_reward,value_loss,sil_num_episodes,nupdates,policy_loss,policy_entropy,total_timesteps,episode_reward,serial_timesteps,time_elapsed,approxkl,explained_variance,clipfrac,sil_valid_samples,sil_steps,best_episode_reward,fps
0,0.0055663283,0.0,1,-0.0020327957,2.8896134,8192,0,128,5.552614212036133,0.0007874326,-3.8772106170654297,0.0,0.0,0.0,0.0,1475
0.0,0.00010498887,0.0,10,-0.0012408345,2.8165834,81920,0.0,1280,44.40219235420227,0.002579712,-2.3019461631774902,0.014373779,0.0,0.0,0.0,1861
0.0,5.6876626e-05,0.0,20,-0.0012849482,2.7368045,163840,0.0,2560,87.62473177909851,0.002528064,-3.671677589416504,0.004547119,0.0,0.0,0.0,1994
0.0,4.3459742e-05,0.0,30,-0.0007888233,2.7044103,245760,0.0,3840,128.2228569984436,0.0020900848,-3.071162700653076,0.0020751953,0.0,0.0,0.0,1957
0.0,5.4158732e-05,0.0,40,-0.001634466,2.6745052,327680,0.0,5120,170.1450173854828,0.0033680368,-3.7610011100769043,0.022949219,0.0,0.0,0.0,1964
0.0,4.249379e-05,0.0,50,-0.001927993,2.6718104,409600,0.0,6400,211.77529215812683,0.002282744,-7.063800811767578,0.010864258,0.0,0.0,0.0,1965
0.0,5.46863e-05,0.0,60,-0.0012360788,2.7622917,491520,0.0,7680,250.19217991828918,0.0028883107,-5.074462890625,0.021575928,0.0,0.0,0.0,2387
0.0,5.582073e-05,0.0,70,-0.002785876,2.765311,573440,0.0,8960,285.74631905555725,0.005368407,-4.517539024353027,0.022277832,0.0,0.0,0.0,2329
0.0,4.0219034e-05,0.0,80,-0.0011091525,2.8010757,655360,0.0,10240,321.49374556541443,0.0022706809,-2.8146326541900635,0.004638672,0.0,0.0,0.0,2264
0.0,0.00055867474,1.0,90,-0.00041230023,2.7686503,737280,0.0,11520,360.21714901924133,0.0032207007,-0.006626725196838379,0.022003174,512.0,2788.0,100.0,1841
7.5,4.911628e-05,10.0,100,-0.0024251635,2.7654288,819200,0.075,12800,406.2438545227051,0.004503466,-1.9013426303863525,0.048706055,512.0,46288.0,100.0,1761
0.0,5.775947e-05,10.0,110,-0.0012525789,2.7612143,901120,0.0,14080,452.37691831588745,0.0019452163,-3.027425765991211,0.008056641,512.0,46288.0,100.0,1674
0.0,7.907411e-05,10.0,120,-0.004919082,2.6367834,983040,0.0,15360,495.5658755302429,0.005938219,-1.1569507122039795,0.05734253,512.0,46288.0,100.0,1925
0.0,0.00010196858,10.0,130,-0.004313564,2.709164,1064960,0.0,16640,539.170138835907,0.004693454,-2.844374895095825,0.043701172,512.0,46288.0,100.0,1803
0.0,0.000112317735,10.0,140,-0.0047664717,2.7333744,1146880,0.0,17920,584.7291212081909,0.004731305,-3.286484718322754,0.047821045,512.0,46288.0,100.0,1792
0.0,0.00015021018,10.0,150,-0.0050187083,2.683776,1228800,0.0,19200,628.7780380249023,0.0032654093,-3.491969585418701,0.022979736,512.0,46288.0,100.0,2103
0.0,0.00011083504,10.0,160,-0.0048800395,2.7177052,1310720,0.0,20480,666.33345079422,0.0036112755,-3.6730546951293945,0.03479004,512.0,46288.0,100.0,2110
0.0,0.00010649393,10.0,170,-0.005685944,2.615403,1392640,0.0,21760,704.8721380233765,0.00495654,-3.3693432807922363,0.04852295,512.0,46288.0,100.0,2084
0.0,0.000121325924,10.0,180,-0.0055690887,2.645654,1474560,0.0,23040,744.964738368988,0.0035311119,-2.7560317516326904,0.036895752,512.0,46288.0,100.0,2143
0.0,0.00010944858,10.0,190,-0.005626539,2.6529763,1556480,0.0,24320,783.2524569034576,0.0044029397,-3.441847801208496,0.042877197,512.0,46288.0,100.0,2242
