policy_entropy,value_loss,episode_reward,sil_num_episodes,sil_valid_samples,fps,total_timesteps,nupdates,sil_steps,explained_variance,best_episode_reward
0.1861221343278885,0.08586499840021133,0.0,1.0,512.0,1562,1024000,3200,1793.0,-0.05625903606414795,100.0
2.808206081390381,0.0004294132231734693,0.0,1.0,512.0,1548,1056000,3300,1793.0,0.13112294673919678,100.0
2.685398578643799,0.0002261755580548197,0.0,1.0,512.0,1533,1088000,3400,1793.0,-3.9332680702209473,100.0
0.0,0.01003577932715416,0.0,1.0,512.0,1521,1120000,3500,1793.0,-0.7415181398391724,100.0
2.7607314586639404,0.0007325161714106798,0.0,1.0,512.0,1509,1152000,3600,1793.0,0.10409051179885864,100.0
2.508007764816284,0.0001877429021988064,2.5,2.0,512.0,1496,1184000,3700,3712.0,0.20537084341049194,100.0
2.8114991188049316,4.4687538320431486e-05,0.0,2.0,512.0,1481,1216000,3800,3712.0,-18.411527633666992,100.0
2.284752368927002,0.0034587986301630735,0.0,2.0,512.0,1465,1248000,3900,3712.0,0.31810593605041504,100.0
2.692359447479248,6.829372978245374e-06,0.0,2.0,512.0,1449,1280000,4000,3712.0,0.004751384258270264,100.0
2.8794403076171875,1.9713222627615323e-06,0.0,2.0,512.0,1437,1312000,4100,3712.0,-1.1920928955078125e-07,100.0
2.8485350608825684,8.330804121214896e-05,0.0,2.0,512.0,1425,1344000,4200,3712.0,-0.0002467632293701172,100.0
2.8011984825134277,0.0002541801077313721,0.0,2.0,512.0,1414,1376000,4300,3712.0,-0.0029860734939575195,100.0
2.7590599060058594,0.00015442672884091735,0.0,2.0,512.0,1403,1408000,4400,3712.0,0.0,100.0
2.721219539642334,0.0002450889442116022,0.0,2.0,512.0,1393,1440000,4500,3712.0,0.0054825544357299805,100.0
2.7566819190979004,0.00027127182693220675,0.0,2.0,512.0,1383,1472000,4600,3712.0,0.0,100.0
2.7465996742248535,8.906675793696195e-05,0.0,2.0,512.0,1374,1504000,4700,3712.0,-0.027847886085510254,100.0
2.7472636699676514,2.3047208742354997e-05,0.0,2.0,512.0,1366,1536000,4800,3712.0,-0.06302368640899658,100.0
2.758533477783203,2.350680370000191e-05,0.0,2.0,512.0,1358,1568000,4900,3712.0,0.31443697214126587,100.0
2.783853530883789,0.000577522732783109,0.0,2.0,512.0,1350,1600000,5000,3712.0,8.165836334228516e-06,100.0
2.7830617427825928,0.00045811617746949196,0.0,2.0,512.0,1344,1632000,5100,3712.0,0.0,100.0
2.7690041065216064,0.00017226186173502356,0.0,2.0,512.0,1338,1664000,5200,3712.0,-0.004657864570617676,100.0
2.7808802127838135,2.5522986106807366e-05,0.0,2.0,512.0,1331,1696000,5300,3712.0,0.0,100.0
2.7815451622009277,2.5985651518567465e-05,0.0,2.0,512.0,1325,1728000,5400,3712.0,0.0,100.0
2.782691717147827,2.560752909630537e-05,0.0,2.0,512.0,1320,1760000,5500,3712.0,0.0,100.0
2.772552728652954,2.4601113182143308e-05,0.0,2.0,512.0,1315,1792000,5600,3712.0,-0.13396227359771729,100.0
