episode_raw_reward,time_elapsed,nupdates,explained_variance,sil_num_episodes,policy_entropy,sil_valid_samples,serial_timesteps,value_loss,approxkl,episode_reward,clipfrac,fps,policy_loss,sil_steps,best_episode_reward,total_timesteps
0,24.508058786392212,1,0.036348044872283936,0.0,2.8890336,0.0,128,0.070154786,0.0013488787,0,0.0,334,-0.0014093359,0.0,0.0,8192
-36.7,63.62550473213196,10,0.20644545555114746,0.0,2.8728294,0.0,1280,0.1340148,0.0014324475,-8.425,0.00061035156,1854,-0.0021416328,0.0,0.0,81920
-46.125,106.2899284362793,20,0.6245886087417603,0.0,2.8441818,0.0,2560,0.14573659,0.000774792,-8.25,0.0002746582,1927,-0.001109858,0.0,0.0,163840
-60.2,149.62939620018005,30,0.5491887927055359,0.0,2.7214713,0.0,3840,0.27078062,0.0040765894,-4.75,0.031097412,1998,-0.0034091973,0.0,0.0,245760
-24.5,191.55143857002258,40,0.4693935513496399,0.0,2.694114,0.0,5120,0.1250697,0.002705268,-3.65,0.022857666,1921,-0.002524737,0.0,0.0,327680
-4.475,234.8047170639038,50,0.47395575046539307,0.0,2.7505603,0.0,6400,0.014668013,0.0039224504,-1.325,0.026062012,1945,-0.002514738,0.0,0.0,409600
-10.4,276.18863558769226,60,0.32202577590942383,0.0,2.784768,0.0,7680,0.2650304,0.0013739968,-2.325,0.0019226074,2002,-0.0008657854,0.0,0.0,491520
-137.525,316.8194909095764,70,0.6244919300079346,0.0,2.7775776,0.0,8960,0.02552717,0.003979883,-23.875,0.0473938,2026,-0.0024841968,0.0,0.0,573440
-217.85,351.46349453926086,80,0.7577473372220993,0.0,2.7267394,0.0,10240,0.0013779631,0.0016428619,-34.8,0.0012512207,2552,-0.00091105176,0.0,0.0,655360
-245.175,385.3299095630646,90,0.48209595680236816,0.0,2.6329827,0.0,11520,0.003221176,0.003390834,-35.7,0.022705078,2402,-0.0021928924,0.0,0.0,737280
-269.1,419.2281496524811,100,0.5550439655780792,0.0,2.569553,0.0,12800,0.00039924588,0.0027421205,-37.675,0.011291504,2387,-0.002114839,0.0,0.0,819200
-269.1,452.38061356544495,110,0.37772685289382935,0.0,2.681364,0.0,14080,0.00020881616,0.00080401107,-37.675,0.0,2276,-0.00087651936,0.0,0.0,901120
