policy_entropy,serial_timesteps,episode_reward,best_episode_reward,sil_num_episodes,sil_valid_samples,fps,approxkl,value_loss,explained_variance,episode_raw_reward,clipfrac,time_elapsed,sil_steps,policy_loss,total_timesteps,nupdates
2.63751,38400,0.0,100.0,8.0,509.0,1861,0.0061392104,9.232194e-05,-4.431344032287598,0.0,0.0730896,1217.5262706279755,25527.0,-0.008255632,2457600,300
2.627441,39680,0.0,100.0,8.0,511.0,1988,0.0057634204,0.00010846806,-4.025423526763916,0.0,0.0637207,1262.5554876327515,25527.0,-0.01063937,2539520,310
2.6060076,40960,0.0,100.0,8.0,510.0,2135,0.0052412474,0.00010144654,-4.8349103927612305,0.0,0.06466675,1302.1492228507996,25527.0,-0.010980694,2621440,320
2.5633178,42240,0.0,100.0,8.0,511.0,2155,0.0054765604,0.00010088532,-4.696735382080078,0.0,0.06289673,1341.6178827285767,25527.0,-0.011291267,2703360,330
2.524045,43520,0.0,100.0,8.0,507.0,2093,0.0043842583,7.374891e-05,-5.716331958770752,0.0,0.04550171,1381.31933927536,25527.0,-0.011934531,2785280,340
2.5146012,44800,0.0,100.0,8.0,506.0,2140,0.0052567148,5.5044933e-05,-3.0526065826416016,0.0,0.059539795,1420.5756967067719,25527.0,-0.012428753,2867200,350
2.4386537,46080,0.0,100.0,8.0,510.0,2157,0.0056799715,4.3949836e-05,-4.9235944747924805,0.0,0.06845093,1459.8526446819305,25527.0,-0.01256345,2949120,360
2.4393613,47360,0.0,100.0,8.0,512.0,2201,0.005269446,4.497024e-05,-2.1485085487365723,0.0,0.060546875,1497.9558300971985,25527.0,-0.012483444,3031040,370
2.373924,48640,0.0,100.0,8.0,505.0,2170,0.005640645,2.2569842e-05,-2.61301589012146,0.0,0.066986084,1534.9778800010681,25527.0,-0.010068948,3112960,380
2.4514322,49920,0.0,100.0,8.0,507.0,2292,0.006543005,2.195944e-05,-3.2671961784362793,0.0,0.08996582,1570.8426105976105,25527.0,-0.01019818,3194880,390
2.3868153,51200,0.0,100.0,8.0,511.0,1877,0.006042947,1.7675156e-05,-3.614595890045166,0.0,0.072753906,1613.792016029358,25527.0,-0.009316672,3276800,400
2.4262154,52480,0.0,100.0,8.0,507.0,1830,0.0058014574,1.0794418e-05,-4.473306655883789,0.0,0.07208252,1657.6007511615753,25527.0,-0.010319148,3358720,410
2.417809,53760,0.0,100.0,8.0,508.0,2054,0.0074299583,2.5135576e-05,-1.206782341003418,0.0,0.103302,1700.523708820343,25527.0,-0.012941629,3440640,420
2.3496244,55040,0.0,100.0,8.0,509.0,2212,0.0052675474,1.0199704e-05,-3.718513011932373,0.0,0.065979004,1738.9425411224365,25527.0,-0.011860179,3522560,430
2.3634813,56320,0.0,100.0,8.0,510.0,2164,0.004731974,6.898979e-06,-3.9125328063964844,0.0,0.053619385,1777.9390788078308,25527.0,-0.010918819,3604480,440
2.2395885,57600,0.0,100.0,8.0,508.0,2153,0.004862255,7.190705e-06,-2.34710693359375,0.0,0.056518555,1816.3778994083405,25527.0,-0.011517011,3686400,450
1.9608443,58880,0.0,100.0,8.0,511.0,2087,0.0043247235,6.6029497e-06,-0.216758131980896,0.0,0.050933838,1855.8241064548492,25527.0,-0.010435882,3768320,460
2.188531,60160,0.0,100.0,8.0,512.0,2131,0.005353703,3.069273e-06,-3.036801815032959,0.0,0.0675354,1895.730305671692,25527.0,-0.013080576,3850240,470
2.012551,61440,0.0,100.0,8.0,508.0,2071,0.0049470193,1.4280249e-05,0.33379918336868286,0.0,0.055541992,1935.5873613357544,25527.0,-0.011978823,3932160,480
2.005949,62720,0.0,100.0,8.0,510.0,2018,0.006871498,5.3770095e-06,-2.1362521648406982,0.0,0.091430664,1975.9482169151306,25527.0,-0.01520031,4014080,490
1.9529268,64000,0.0,100.0,8.0,509.0,2098,0.005263125,8.528772e-06,-2.7371666431427,0.0,0.065826416,2015.884292125702,25527.0,-0.010344856,4096000,500
1.8897375,65280,0.0,100.0,8.0,510.0,2064,0.005727953,4.703985e-06,-0.15529084205627441,0.0,0.070892334,2055.8928101062775,25527.0,-0.009044449,4177920,510
2.0608375,66560,0.0,100.0,8.0,509.0,1999,0.0035753646,3.036269e-06,-0.7980480194091797,0.0,0.041137695,2095.751801967621,25527.0,-0.011953423,4259840,520
1.9107751,67840,0.0,100.0,8.0,511.0,2020,0.0050159716,2.9478838e-06,-0.0499500036239624,0.0,0.06347656,2134.9357216358185,25527.0,-0.012193495,4341760,530
1.9931426,69120,0.0,100.0,8.0,512.0,2238,0.006914724,4.5450042e-06,-0.4911839962005615,0.0,0.09585571,2172.9454255104065,25527.0,-0.013529374,4423680,540
1.9406335,70400,0.0,100.0,8.0,496.0,2143,0.0048612673,0.00023266497,-1.4111690521240234,0.0,0.060455322,2211.9795503616333,25527.0,-0.0070863003,4505600,550
1.7944691,71680,0.0,100.0,8.0,510.0,2050,0.0051560006,1.6574916e-06,-3.4825754165649414,0.0,0.05947876,2251.187520503998,25527.0,-0.013534558,4587520,560
1.7158853,72960,0.0,100.0,9.0,511.0,2188,0.00559251,7.0408823e-06,-1.0595996379852295,0.0,0.071136475,2290.1884977817535,27537.0,-0.011685247,4669440,570
1.7484809,74240,0.0,100.0,9.0,509.0,2260,0.0054562483,3.5544555e-05,-0.4314708709716797,0.0,0.06430054,2328.5145111083984,27537.0,-0.012770428,4751360,580
1.7792219,75520,0.0,100.0,9.0,511.0,2253,0.006744818,1.0640733e-06,-2.1940722465515137,0.0,0.08477783,2365.9670095443726,27537.0,-0.015429359,4833280,590
1.7771039,76800,0.0,100.0,9.0,509.0,2016,0.0059930296,5.3511594e-06,-0.09988486766815186,0.0,0.07550049,2406.916507959366,27537.0,-0.013572531,4915200,600
1.7723237,78080,0.0,100.0,9.0,506.0,1814,0.00615005,4.6765092e-07,-0.9172883033752441,0.0,0.07397461,2447.0037903785706,27537.0,-0.011123525,4997120,610
1.750644,79360,0.0,100.0,9.0,510.0,2142,0.006845583,2.9197045e-06,-0.47514963150024414,0.0,0.08892822,2487.185048341751,27537.0,-0.015214967,5079040,620
1.5541677,80640,0.0,100.0,9.0,507.0,1853,0.004431707,1.7286568e-05,-0.6214727163314819,0.0,0.0552063,2531.241368532181,27537.0,-0.008351235,5160960,630
1.6783094,81920,0.0,100.0,9.0,511.0,1844,0.007150797,2.8999689e-06,-1.1916413307189941,0.0,0.09402466,2575.692266225815,27537.0,-0.014130554,5242880,640
1.7240503,83200,0.0,100.0,9.0,511.0,2111,0.006136359,1.0113682e-06,-1.2735424041748047,0.0,0.07757568,2615.728473186493,27537.0,-0.012938216,5324800,650
2.0301907,84480,0.0,100.0,9.0,511.0,1862,0.0073401444,6.305332e-07,-1.1077656745910645,0.0,0.0975647,2657.6089236736298,27537.0,-0.014517351,5406720,660
2.250323,85760,0.0,100.0,9.0,508.0,1810,0.0052936906,4.3041243e-07,0.0383908748626709,0.0,0.061309814,2701.259831905365,27537.0,-0.010010171,5488640,670
2.0797567,87040,0.0,100.0,9.0,510.0,1881,0.006546099,5.5591777e-06,-0.782715916633606,0.0,0.088409424,2744.688027381897,27537.0,-0.013810712,5570560,680
1.699697,88320,0.0,100.0,11.0,505.0,1824,0.004865297,1.1724273e-05,-0.3473461866378784,0.0,0.05807495,2789.7639243602753,34298.0,-0.012890829,5652480,690
1.9088538,89600,0.0,100.0,12.0,504.0,2215,0.0066306535,7.175456e-06,-0.3526822328567505,0.0,0.08151245,2833.458647966385,38677.0,-0.014664557,5734400,700
